id_remediacao,id_teste,id_controle,id_ciclo,descricao_acao,responsavel_acao,area_responsavel,severidade,data_abertura,data_prazo,data_conclusao,status_remediacao,evidencia_anexada
R037,T0090,C008,CIC005,Revisão e correção do controle C008 - Falha Crítica,Fernanda Oliveira,Financeiro,Alta,2025-03-11,2025-04-10,,Em andamento,Sim
R038,T0091,C003,CIC005,Revisão e correção do controle C003 - Deficiência de Design,Lucas Pereira,Controles Internos,Baixa,2025-02-28,2025-05-29,2025-04-25,Concluído,Sim
R039,T0096,C013,CIC006,Revisão e correção do controle C013 - Deficiência de Design,Bruno Alves,Compliance,Média,2025-04-18,2025-06-17,2025-06-06,Concluído,Não
R040,T0098,C002,CIC006,Revisão e correção do controle C002 - Deficiência de Design,Camila Souza,Crédito,Baixa,2025-06-20,2025-09-18,2025-09-15,Concluído,Sim
R041,T0101,C003,CIC006,Revisão e correção do controle C003 - Deficiência Operacional,Bruno Alves,Crédito,Baixa,2025-05-27,2025-08-25,2025-08-04,Concluído,Sim
R042,T0106,C004,CIC006,Revisão e correção do controle C004 - Deficiência Operacional,Mariana Costa,TI,Média,2025-04-26,2025-06-25,2025-05-12,Concluído,Não
R043,T0107,C010,CIC006,Revisão e correção do controle C010 - Deficiência Operacional,Felipe Santos,Compliance,Média,2025-06-07,2025-08-06,,Atrasado,Não
R044,T0108,C003,CIC007,Revisão e correção do controle C003 - Deficiência Operacional,Camila Souza,Compliance,Média,2025-09-16,2025-11-15,2025-10-29,Concluído,Não
R045,T0109,C009,CIC007,Revisão e correção do controle C009 - Falha Crítica,Felipe Santos,Financeiro,Alta,2025-09-01,2025-10-01,,Em andamento,Sim
R046,T0110,C015,CIC007,Revisão e correção do controle C015 - Deficiência de Design,Lucas Pereira,TI,Baixa,2025-07-23,2025-10-21,2025-09-04,Concluído,Sim
R047,T0112,C018,CIC007,Revisão e correção do controle C018 - Deficiência Operacional,Lucas Pereira,Financeiro,Baixa,2025-09-01,2025-11-30,,Em andamento,Não
R048,T0114,C016,CIC007,Revisão e correção do controle C016 - Falha Crítica,Lucas Pereira,Compliance,Alta,2025-08-02,2025-09-01,,Atrasado,Sim
R049,T0116,C007,CIC007,Revisão e correção do controle C007 - Falha Crítica,Mariana Costa,Compliance,Alta,2025-09-26,2025-10-26,,Não iniciado,Sim
R050,T0120,C013,CIC007,Revisão e correção do controle C013 - Falha Crítica,Camila Souza,Controles Internos,Alta,2025-09-11,2025-10-11,,Não iniciado,Sim
R051,T0121,C002,CIC007,Revisão e correção do controle C002 - Deficiência Operacional,Camila Souza,Compliance,Baixa,2025-09-07,2025-12-06,2025-11-16,Concluído,Não
R052,T0122,C004,CIC007,Revisão e correção do controle C004 - Deficiência de Design,Felipe Santos,TI,Baixa,2025-07-19,2025-10-17,2025-09-24,Concluído,Sim
R053,T0125,C005,CIC007,Revisão e correção do controle C005 - Deficiência de Design,Ricardo Mendes,Crédito,Média,2025-09-11,2025-11-10,2025-09-27,Concluído,Sim
R054,T0126,C019,CIC007,Revisão e correção do controle C019 - Deficiência Operacional,Lucas Pereira,Financeiro,Média,2025-08-17,2025-10-16,2025-09-26,Concluído,Sim
R055,T0127,C014,CIC007,Revisão e correção do controle C014 - Falha Crítica,Felipe Santos,Controles Internos,Alta,2025-08-05,2025-09-04,,Em andamento,Não
R056,T0128,C008,CIC008,Revisão e correção do controle C008 - Falha Crítica,Felipe Santos,Compliance,Alta,2025-11-12,2025-12-12,,Não iniciado,Sim
R057,T0132,C019,CIC008,Revisão e correção do controle C019 - Falha Crítica,Felipe Santos,TI,Alta,2025-11-13,2025-12-13,,Não iniciado,Sim
R058,T0133,C001,CIC008,Revisão e correção do controle C001 - Deficiência Operacional,Bruno Alves,Crédito,Média,2025-11-16,2026-01-15,,Atrasado,Não
R059,T0134,C007,CIC008,Revisão e correção do controle C007 - Deficiência de Design,Ricardo Mendes,Controles Internos,Média,2025-12-01,2026-01-30,2025-12-21,Concluído,Sim
R060,T0136,C012,CIC008,Revisão e correção do controle C012 - Deficiência de Design,Lucas Pereira,Financeiro,Baixa,2025-11-02,2026-01-31,2025-11-30,Concluído,Sim
R061,T0137,C010,CIC008,Revisão e correção do controle C010 - Deficiência Operacional,Lucas Pereira,Financeiro,Baixa,2025-12-13,2026-03-13,2026-01-11,Concluído,Sim
R062,T0140,C015,CIC008,Revisão e correção do controle C015 - Deficiência Operacional,Felipe Santos,Controles Internos,Média,2025-10-11,2025-12-10,,Em andamento,Não
